Ref,Val,Package,PosX,PosY,Rot,Side
"R32","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",242.800000,-142.300000,0.000000,top
"R33","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",242.800000,-144.300000,0.000000,top
"R34","0R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",242.800000,-146.400000,0.000000,top
"R35","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",260.331250,-141.800000,-90.000000,top
"R37","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",195.500000,-105.000000,180.000000,top
"R38","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",190.900000,-92.950000,90.000000,top
"R39","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",188.650000,-92.950000,90.000000,top
"R40","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",178.650000,-104.950000,180.000000,top
"SW1","Reset","SW_B3F-1000_OMR",192.300001,-127.099998,-90.000000,top
"SW2","5V Bypass","SPDT_OS102011_CNK",211.550000,-86.050000,0.000000,top
"SW3","All Power Switch","26-60-4040_MOL",219.500000,-103.087200,90.000000,top
"SW4","User_Button","CONN_22232021_MOL",239.490128,-164.375000,180.000000,top
"SW5","User_Button","CONN_22232021_MOL",247.230128,-164.375000,180.000000,top
"SW6","User_Button","CONN_22232021_MOL",231.610128,-164.351200,180.000000,top
"SW7","SW_SPST","CONN_22232021_MOL",195.000000,-100.300000,0.000000,top
"SW8","SW_SPST","CONN_22232021_MOL",189.060000,-100.300000,0.000000,top
"SW9","SW_SPST","CONN_22232021_MOL",183.310000,-100.300000,0.000000,top
"SW10","SW_SPST","CONN_22232021_MOL",177.510000,-100.300000,0.000000,top
"U1","PIC32MZ2048EFH144-I/PL","LQFP144_PL_MCH-M",215.400000,-132.000000,0.000000,top
"U2","AP2114HA-3.3TRG1","SOT-223_DIO-M",208.700000,-98.100000,-90.000000,top
"U3","AP2114HA-3.3TRG1","SOT-223_DIO-M",177.500000,-92.328500,90.000000,top
"U5","GSF7002DW","SOT-363_SC-70-6",210.150000,-157.150000,180.000000,top
"U6","GSF7002DW","SOT-363_SC-70-6",217.050000,-157.150000,180.000000,top
"U7","GSF7002DW","SOT-363_SC-70-6",224.050000,-157.150000,180.000000,top
"U8","GSF7002DW","SOT-363_SC-70-6",215.400000,-108.300000,0.000000,top
"U9","MCP2221A-I_SL","SOIC127P600X175-14N",258.240000,-103.660000,180.000000,top
"U10","DRV8842PWPR","PWP0028C_M",180.700000,-112.899999,0.000000,top
"U11","Quad_Encoder_Motor","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",261.925000,-115.570000,-90.000000,top
"U12","Quad_Encoder_Motor","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",169.100000,-135.890000,90.000000,top
"U13","DRV8842PWPR","PWP0028C_M",250.300000,-138.999999,180.000000,top
"U15","M95M01-DFMN6TP","SO8N_4X5X1P27_STM-M",214.200000,-152.100000,180.000000,top
